% (Hf),% (Ti),% (Zr),kappa_lattice
2.00000000979998,63.00000000369936,34.999999986500654,4.8731284840393245
2.00000000979998,64.00000000359935,33.99999998660067,4.870399208135595
2.00000000979998,65.00000000349935,32.99999998670067,4.86839157169489
2.00000000979998,66.00000000339934,31.999999986800688,4.867111812132347
2.00000000979998,67.00000000329932,30.999999986900704,4.866567379853816
2.00000000979998,68.00000000319932,29.999999987000706,4.866766980735878
2.00000000979998,69.0000000030993,28.999999987100722,4.867720625212039
2.00000000979998,70.0000000029993,27.999999987200724,4.869439684475508
2.00000000979998,71.00000000289928,26.99999998730074,4.8719369543913915
2.00000000979998,72.00000000279927,25.999999987400756,4.87522672780392
2.00000000979998,73.00000000269927,24.999999987500757,4.879324876029712
2.00000000979998,74.00000000259925,23.999999987600773,4.884248940448214
